Ультрабук HP Folio 9470 Core i5 стильный и легкий;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_folio_9470_core_i5_stilnyy_i_legkiy_963825971;23 900;м. Озерки
Ультрабук SAMSUNG матрица IPS 1.1 кг металл;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_samsung_matritsa_ips_1.1_kg_metall_946119428;29 900;м. Озерки
Ультрабук-трансформер Lenovo IdeaPad Yoga 2 Pro;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk-transformer_lenovo_ideapad_yoga_2_pro_1089948641?slocation=653240;72 000;
Ультрабук Prestigio smartbook full hd ips;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_prestigio_smartbook_full_hd_ips_1011482788;11 000;м. Площадь Мужества
"Ультрабук HP 15"", i5-3337U, 8Гб, SSD120, HDD500";https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_hp_15_i5-3337u_8gb_ssd120_hdd500_935755372?slocation=653240;15 000;
Ультрабук Lenovo ThinkPad X240 - i5 / 4Gb / 128SSD;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_lenovo_thinkpad_x240_-_i5_4gb_128ssd_1563839607?slocation=653240;18 950;
Ультрабук-Трансформер 13.3 FHD 4ядра-4гига BT/WF;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk-transformer_13.3_fhd_4yadra-4giga_btwf_1161021902;23 999;м. Площадь Ленина
Ультрабук трансформер Dell 13 7353 2 в 1. i3 8гб;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_transformer_dell_13_7353_2_v_1._i3_8gb_1703925612?slocation=653240;23 990;
Ультрабук трансформер 2 в 1 Dell 3153;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_transformer_2_v_1_dell_3153_1480417979?slocation=653240;13 990;
Ультрабук Acer aspire v5 cpu967/620m/4gb/500gb;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_acer_aspire_v5_cpu967620m4gb500gb_1280079256?slocation=653240;10 500;
Ультрабук asus x201e;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_asus_x201e_1628471772;4 300 ;м. Комендантский проспект
Ультрабук Acer v5 - 531 по запчастям;https://www.avito.ru/sankt-peterburg/noutbuki/ultrabuk_acer_v5_-_531_po_zapchastyam_785300579;9 850 ;м. Проспект Просвещения
